id,deleted,version,created_date,awarded_amount,awarded_duration,channel_code,code_ls,fees,label,loan_contract_base64,partner_code,pki_request_id,rate,requested_amount,requested_deadlines,requested_duration,score,status,total_loan_amount,bank_signed_contract_id,fk_client,client_signed_contract_id,other_revenue,people_in_charge_of,revenue,activity_sector_id,employer_contract_type_id,marital_status_id,profession_id,studies_level_id,eservice_tracking_id,client_signed_contract_ged_id,credit_wallet_request_uid,credit_wallet_transaction_ref,ceiling_updated,rejection_reason,annual_rate,annual_tci,m2t_remuneration,net_annual_rate,effective_annual_rate_of_charge,funds_unlock_retry_count,nb_ops_paie_m1,nb_ops_paie_m2,nb_ops_paie_m3,nb_ops_paie_m4,nb_ops_paie_m5,nb_ops_paie_m6,nb_vir_recu_in_m1,nb_vir_recu_in_m2,nb_vir_recu_in_m3,nb_vir_recu_in_m4,nb_vir_recu_in_m5,nb_vir_recu_in_m6,mt_moy_hebdo_3m,contract_nature,moy_mens_pay_telec_1an,moy_mens_pay_eauelec_1an,moy_mens_trans_emis_1an,moy_mens_trans_recus_1an,nb_fact_oay_horsrecouv_1an,nb_fact_oay_1an,awarded_deadlines,rejection_flag,produit,account_active,cdg_creation_date,cdg_nb_bourses,cdg_total_amount,cdgmad_creation_date,cdgmad_gtrx_etat,cdgmad_gtrx_mnt,cdgmad_gtrx_num,last_amount,last_amount_date,code_es
e38b1665-748a-417c-8f99-70ba4029c693,f,2021-10-20 10:41:32.59,2021-10-20 10:39:23.200817,200,3,012006,84100053932410090030,7.7,,,011,5ec48426-dd73-44e9-8152-2689192f3d00,13.6,200,1,3,6,FUNDS_UNLOCKED,207.95,,92966b43-9230-4522-b3e5-1aad18e0a136,,,,,,,,,,7251421,09031381804b7452,1c0611d0-f907-4925-9fa6-e0cb054a435e,N00000000131,t,,13.6,1.6,1,11,14.276778,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,1,,,f,,,,,,,,,,
657fcb80-51c6-459b-81ff-11e4e52c8b0c,f,2021-11-05 09:55:58.232,2021-11-05 09:55:43.79094,200,3,012006,84100717194872090021,7.7,,,011,a22e7ed3-596e-46e4-909b-a8b7e08e47d8,13.6,200,1,3,6,BANK_SIGNED_CONTRACT,207.95,,5330c7fb-b4d0-4f2f-a725-c2bdb68238de,,,,,,,,,,7747697,,,,f,,13.6,1.6,1,11,20.764865,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,1,,,f,,,,,,,,,,
30f959cd-db27-4a00-b7ea-a245e523b2e8,f,2021-09-27 15:50:56.467,2021-09-27 15:50:56.442445,200,3,012006,,,,,011,,,200,1,3,6,REJECTED,,,253d789b-eda1-4522-b9d5-193d0055bce6,,,,,,,,,,6861475,,,,f,insufficient.score,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,1,,,f,,,,,,,,,,
1403668d-94b8-4460-8d21-1ae90d587398,f,2022-01-26 09:41:23.879,2022-01-26 09:41:23.877299,,,012006,,,,,011,,,200,1,3,,CREATED,,,a48c837f-f68a-492c-9623-08e895a7a44e,,,,,,,,,,8287868,,,,f,,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,,,,f,,,,,,,,,,
b3bfb7f5-5a03-4c1d-bae2-5247773f7f14,f,2021-09-27 15:24:12.615,2021-09-27 15:24:12.588699,200,3,012006,,,,,011,,,200,1,3,6,REJECTED,,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,6860976,,,,f,insufficient.score,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,1,,,f,,,,,,,,,,
6f5b4fbf-109e-4f22-8bbb-f0bc54c28809,f,2021-09-27 15:51:18.241,2021-09-27 15:51:18.212689,200,3,012006,,,,,011,,,200,1,3,6,REJECTED,,,253d789b-eda1-4522-b9d5-193d0055bce6,,,,,,,,,,6861563,,,,f,insufficient.score,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,1,,,f,,,,,,,,,,
a9ed24f5-e30f-41ad-a5c3-0e64993c0045,f,2022-02-24 15:06:16.431,2022-02-24 15:06:16.430972,,,012006,,,,,011,,,200,1,3,,CREATED,,,2801bc6e-4dfc-46c7-9bf0-b4a678403ac4,,,,,,,,,,8446469,,,,f,,,,,,,0,2,2,3,6,5,6,1,1,1,1,1,1,300,01,1,1,1,1,1,1,,,,f,,,,,,,,,,
79b163d7-d910-4ede-bdd5-b973f9cbe64e,f,2022-02-24 15:06:24.229,2022-02-24 15:06:24.229326,,,012006,,,,,011,,,200,1,3,,CREATED,,,2801bc6e-4dfc-46c7-9bf0-b4a678403ac4,,,,,,,,,,8446469,,,,f,,,,,,,0,2,2,3,6,5,6,1,1,1,1,1,1,300,01,1,1,1,1,1,1,,,,f,,,,,,,,,,
b116f374-52e8-4979-8b1d-73a55819bb25,f,2022-02-24 15:06:31.134,2022-02-24 15:06:31.134101,,,012006,,,,,011,,,200,1,3,,CREATED,,,2801bc6e-4dfc-46c7-9bf0-b4a678403ac4,,,,,,,,,,8446469,,,,f,,,,,,,0,2,2,3,6,5,6,1,1,1,1,1,1,300,01,1,1,1,1,1,1,,,,f,,,,,,,,,,
54210729-3386-426f-870a-70f76aed7197,f,2022-02-24 15:07:22.568,2022-02-24 15:07:22.567827,,,012006,,,,,011,,,200,,,,REJECTED,,,b251fa2c-0cc7-4a77-a1ba-bd0080563daf,,,,,,,,,,8446562,,,,f,loan.already.in.progress,,,,,,0,2,2,3,6,5,6,1,1,1,1,1,1,300,01,1,1,1,1,1,24,,,,f,,,,,,,,,,
